ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 10:29:14 BRST 2017,P12-TER-AP1-AI,18:9c:5d:44:7a:c0,5 min 0 sec,0.8,17916,11853,Wed Nov 29 10:34:15 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 10:19:13 BRST 2017,P01-ANEXO-TER-CEEQ,78:da:6e:eb:7b:a0,10 min 1 sec,0.3,14169,10066,Wed Nov 29 10:29:14 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 09:54:09 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,25 min 3 sec,4.7,162572,713999,Wed Nov 29 10:19:13 BRST 2017,1504.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 09:24:05 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,30 min 4 sec,55.5,241837,12264540,Wed Nov 29 09:54:09 BRST 2017,1804.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 09:09:03 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,15 min 2 sec,0.8,31412,60694,Wed Nov 29 09:24:05 BRST 2017,902.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 08:59:02 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 1 sec,0,0,0,Wed Nov 29 09:09:03 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 08:54:01 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,193.6,3348415,3929395,Wed Nov 29 08:59:02 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 11:12:39 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,15 min 0 sec,0,0,0,Tue Nov 28 11:27:40 BRST 2017,901.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 10:47:36 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,20 min 2 sec,0,0,0,Tue Nov 28 11:07:39 BRST 2017,1203.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Tue Nov 28 10:27:34 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,20 min 2 sec,0,78,0,Tue Nov 28 10:47:36 BRST 2017,1202.0,0
